kandidat_id,disability_type,skills,functional_profile
K067,Acquired Brain Injury (ABI),"Adobe Illustrator, Adobe Photoshop, Motion Graphics","Mengalami cedera otak akibat kecelakaan lalu lintas yang memengaruhi memori jangka pendek, namun kemampuan teknis di bidang desain grafis tetap terjaga. Lulusan S1 Desain Komunikasi Visual, terampil dalam Adobe Photoshop dan Illustrator. Bekerja menggunakan alat bantu seperti reminder digital, catatan terstruktur, dan aplikasi manajemen tugas untuk mengkompensasi keterbatasan memori."
K068,Gangguan Spektrum Autisme,"Testing Manual, Bug Tracking, Test Case, Katalon, Jira, Selenium","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan quality assurance dan pengujian perangkat lunak. Latar belakang S2 Ilmu Komputer, menguasai Selenium dan Postman secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K069,Acquired Brain Injury (ABI),"User Research, Figma, Canva, Wireframing, InVision, Sketch","Mengalami cedera otak akibat kecelakaan lalu lintas yang memengaruhi memori jangka pendek, namun kemampuan teknis di bidang desain antarmuka pengguna tetap terjaga. Lulusan D3 Teknik Informatika, terampil dalam Figma dan Prototyping Tools. Bekerja menggunakan alat bantu seperti reminder digital, catatan terstruktur, dan aplikasi manajemen tugas untuk mengkompensasi keterbatasan memori."
K070,Gangguan Mental / Psikososial,"Notulensi, Microsoft Office, Surat Menyurat, Pengarsipan, Google Workspace","Memiliki kondisi bipolar tipe II yang telah stabil dengan pengobatan. Lulusan S1 Hubungan Internasional, sangat produktif dalam periode stabil untuk pekerjaan administrasi perkantoran. Terampil dalam Microsoft Office dan Google Workspace dan bekerja paling baik dengan kebijakan kerja fleksibel yang mengakomodasi kebutuhan manajemen kondisi kesehatan."
K071,Gangguan Intelektual,"MySQL, React, REST API, PHP, Vue.js","Penyandang gangguan intelektual ringan yang mampu menjalankan pekerjaan operasional secara mandiri setelah masa orientasi. Latar belakang D3 Manajemen Informatika, menguasai dasar-dasar Laravel dan MySQL. Bekerja paling baik dalam lingkungan kerja yang konsisten, suportif, dan memiliki prosedur kerja yang terdokumentasi dengan baik."
K072,Gangguan Pendengaran / Tuli (Tunarungu),"Lokalisasi, Bahasa Jepang, Bahasa Mandarin, Proofreading, Bahasa Inggris, Penerjemahan","Tunarungu yang sangat terampil dalam bidang penerjemahan dan lokalisasi dengan latar belakang S1 Komunikasi. Menggunakan closed caption dan subtitle otomatis dalam rapat video, serta mengandalkan komunikasi tertulis untuk koordinasi harian. Keahlian SDL Trados dan CAT tools telah terbukti dalam pengalaman kerja sebelumnya."
K073,Gangguan Daksa Tangan,"Digital Marketing, Google Ads, Copywriting, SEO",Gangguan motorik pada tangan yang teratasi dengan penggunaan voice recognition (Dragon NaturallySpeaking) dan mouse trackball. Lulusan S1 Ekonomi yang berpengalaman di bidang pemasaran digital. Sangat produktif menggunakan tools SEO dan analitik media sosial dan membutuhkan workstation dengan setup ergonomis yang mendukung.
K074,Gangguan Intelektual,"SEO Writing, CapCut, Instagram, Copywriting, Penulisan Konten, WordPress",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang pemasaran digital. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan tools SEO dan analitik media sosial untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K075,Gangguan Intelektual,"Bahasa Mandarin, Proofreading, Bahasa Inggris, Penerjemahan",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang penerjemahan dan lokalisasi. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan SDL Trados dan CAT tools untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K076,Gangguan Daksa Tangan,"ERP, Supply Chain, WMS","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang S1 Psikologi, kompeten dalam Microsoft Excel dan ERP untuk bidang logistik dan manajemen rantai pasok. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K077,Gangguan Pendengaran / Tuli (Tunarungu),"Microsoft Word, Spreadsheet, Accurate","Gangguan pendengaran total yang diatasi dengan penggunaan BISINDO dan teks digital. Latar belakang S1 Komunikasi, sangat kompeten dalam Microsoft Excel dan Google Sheets untuk bidang entri data dan pengelolaan database. Lebih menyukai komunikasi via Slack, email, atau dokumen tertulis dan dapat berkontribusi penuh dalam tim yang inklusif."
K078,Gangguan Daksa Tangan,"Rekrutmen, Payroll, LinkedIn Recruiter, Pelatihan SDM, Manajemen Kinerja","Keterbatasan fungsi tangan sejak lahir yang tidak menghalangi karir profesional di bidang manajemen sumber daya manusia. Lulus dari S1 Bahasa Inggris, menggunakan keyboard satu tangan dan foot mouse sebagai alat bantu. Menguasai software HRIS dengan baik dan terbukti produktif di berbagai lingkungan kerja."
K079,Gangguan Spektrum Autisme,"TikTok Ads, Digital Marketing, SEO, Content Creation, Copywriting","Penyandang GSA yang telah berkarir sukses di bidang pemasaran digital berkat kemampuan analitis yang kuat dan dedikasi terhadap akurasi. Latar belakang S1 Ilmu Administrasi Negara, menguasai platform email marketing. Bekerja paling efektif dengan panduan tugas tertulis yang detail dan feedback yang langsung serta spesifik."
K080,Gangguan Intelektual,"Hubungan Industrial, Payroll, Pelatihan SDM, LinkedIn Recruiter, Manajemen Kinerja","Gangguan intelektual ringan yang tidak menghalangi kontribusi nyata di bidang manajemen sumber daya manusia. Lulusan S1 Hubungan Internasional dengan fokus pada keterampilan praktis. Membutuhkan panduan kerja yang jelas, umpan balik rutin, dan lingkungan yang tidak berubah-ubah untuk memaksimalkan performa."
K081,Gangguan Spektrum Autisme,"Bahasa Inggris, Bahasa Jepang, Proofreading, Lokalisasi, Bahasa Mandarin, SDL Trados","Gangguan Spektrum Autisme dengan kecenderungan hiperfokus pada bidang teknologi dan penerjemahan dan lokalisasi. Lulusan S1 Desain Komunikasi Visual, sangat terampil dalam platform penerjemahan profesional dan terus mengembangkan keahlian secara mandiri. Membutuhkan ruang kerja yang tenang dan komunikasi yang eksplisit tanpa ambiguitas."
K082,Gangguan Spektrum Autisme,"Microservices, Redis, Java","Penyandang Gangguan Spektrum Autisme (GSA) fungsional tinggi dengan kemampuan hiperfokus dan perhatian terhadap detail yang luar biasa di bidang pengembangan backend dan arsitektur sistem. Lulusan D4 Rekayasa Perangkat Lunak, sangat terampil dalam Docker dan Kubernetes. Bekerja paling optimal di lingkungan yang tenang, minim gangguan sensorik, dan memiliki ekspektasi tugas yang jelas dan tidak ambigu."
K083,Gangguan Mental / Psikososial,"Statistik, Python, Power BI, Tableau, SQL, Excel","Individu dengan gangguan psikososial yang kini dalam kondisi stabil dan siap kembali ke dunia kerja di bidang analisis data dan business intelligence. Latar belakang D3 Manajemen Informatika, kompeten dalam Python dan SQL. Sangat cocok untuk posisi yang tidak mensyaratkan tekanan kerja tinggi dan memungkinkan fleksibilitas pendekatan penyelesaian tugas."
K084,Gangguan Bicara (Tunawicara),"FastAPI, Java, Spring Boot, Python","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang analisis data dan business intelligence. Lulusan D3 Teknik Informatika yang terampil dalam Python dan SQL. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K085,Gangguan Penglihatan (Tunanetra),"Microsoft Word, Ketelitian Data, Accurate, Spreadsheet",Mengalami gangguan penglihatan sejak usia muda dan kini bekerja mandiri di bidang entri data dan pengelolaan database menggunakan screen reader dan perangkat braille. Latar belakang pendidikan D3 Akuntansi yang ditempuh secara inklusif. Sangat produktif dalam pekerjaan berbasis teks dan data menggunakan Microsoft Excel dan Google Sheets.
K086,Gangguan Spektrum Autisme,"Server Management, CCNA, VPN, Linux, Monitoring Jaringan","Autisme spektrum level 1 dengan keunggulan dalam pemikiran sistematis dan konsistensi kerja di bidang jaringan komputer dan infrastruktur IT. Lulusan S1 Sistem Informasi, sangat produktif menggunakan Linux dan Firewall tools dalam tugas-tugas yang membutuhkan presisi tinggi. Membutuhkan lingkungan kerja yang tidak terlalu padat secara sosial dan memiliki struktur yang jelas."
K087,Gangguan Spektrum Autisme,"Tableau, NumPy, Python","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan analisis data dan business intelligence. Latar belakang S2 Ilmu Komputer, menguasai R dan Excel secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K088,Gangguan Intelektual,"Motion Graphics, Canva, Branding, Tipografi",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang desain antarmuka pengguna. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan Sketch dan InVision untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K089,Gangguan Spektrum Autisme,"Excel, Pandas, NumPy","Penyandang Gangguan Spektrum Autisme (GSA) fungsional tinggi dengan kemampuan hiperfokus dan perhatian terhadap detail yang luar biasa di bidang analisis data dan business intelligence. Lulusan D4 Rekayasa Perangkat Lunak, sangat terampil dalam Python dan SQL. Bekerja paling optimal di lingkungan yang tenang, minim gangguan sensorik, dan memiliki ekspektasi tugas yang jelas dan tidak ambigu."
K090,Gangguan Mental / Psikososial,"Google Data Studio, Python, Tableau, Statistik, Pandas","Memiliki kondisi bipolar tipe II yang telah stabil dengan pengobatan. Lulusan S1 Teknik Komputer, sangat produktif dalam periode stabil untuk pekerjaan analisis data dan business intelligence. Terampil dalam R dan Excel dan bekerja paling baik dengan kebijakan kerja fleksibel yang mengakomodasi kebutuhan manajemen kondisi kesehatan."
K091,Gangguan Intelektual,"Analitik Media Sosial, Google Ads, Copywriting, SEO, Email Marketing","Mengalami gangguan intelektual ringan dan bekerja paling efektif pada tugas-tugas yang terstruktur, berulang, dan memiliki instruksi yang jelas. Lulusan S1 Akuntansi dengan dukungan program pendidikan inklusif. Terampil dalam platform email marketing untuk bidang pemasaran digital dan sangat dapat diandalkan dalam menyelesaikan tugas rutin dengan supervisi minimal."
K092,Gangguan Pendengaran / Tuli (Tunarungu),"Lokalisasi, Bahasa Inggris, Penerjemahan",Penyandang tunarungu dengan kemampuan membaca gerak bibir yang sangat baik dan menggunakan alat bantu dengar untuk situasi tertentu. Lulusan S1 Bahasa Inggris yang berpengalaman di bidang penerjemahan dan lokalisasi. Sangat produktif dalam lingkungan kerja yang tidak bergantung pada komunikasi verbal intensif dan mendukung penggunaan platform penerjemahan profesional.
K093,Gangguan Daksa Tangan,"Notulensi, Surat Menyurat, Manajemen Jadwal",Gangguan motorik pada tangan yang teratasi dengan penggunaan voice recognition (Dragon NaturallySpeaking) dan mouse trackball. Lulusan D3 Akuntansi yang berpengalaman di bidang administrasi perkantoran. Sangat produktif menggunakan sistem pengarsipan digital dan membutuhkan workstation dengan setup ergonomis yang mendukung.
K094,Gangguan Penglihatan (Tunanetra),"CCNA, Networking, Server Management, Linux, VPN","Mengalami gangguan penglihatan total sejak lahir dan telah mengembangkan keahlian profesional di bidang jaringan komputer dan infrastruktur IT menggunakan JAWS, display braille, dan braille note taker. Lulus dari S1 Teknik Informatika dengan dukungan teknologi asistif penuh. Mampu bekerja mandiri dan hanya membutuhkan lingkungan kerja yang kompatibel dengan screen reader."
K095,Gangguan Penglihatan (Tunanetra),"SIEM, Penetration Testing, Metasploit","Tunanetra bawaan yang berpengalaman di bidang keamanan siber menggunakan teknologi asistif seperti NVDA dan display braille. Lulusan S1 Matematika (konsentrasi komputasi), terbiasa menggunakan tools penetration testing dan SIEM melalui shortcut keyboard tanpa ketergantungan pada tampilan visual. Cocok bekerja secara remote maupun di kantor yang mendukung aksesibilitas digital."
K096,Gangguan Bicara (Tunawicara),"REST API, Node.js, Git, Vue.js, React","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang pengembangan web. Lulusan S1 Sistem Informasi yang terampil dalam React dan Node.js. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K097,Gangguan Daksa Kaki,"Administrasi Perkantoran, Manajemen Jadwal, Notulensi, Surat Menyurat, Google Workspace, Pengarsipan","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan S1 Desain Komunikasi Visual, sangat kompeten dalam sistem pengarsipan digital untuk pekerjaan administrasi perkantoran. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K098,Gangguan Bicara (Tunawicara),"CorelDRAW, Motion Graphics, Desain Visual, Tipografi","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang desain grafis. Lulusan S1 Bahasa Inggris yang terampil dalam Adobe Photoshop dan Illustrator. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K099,Gangguan Daksa Tangan,"Manajemen Gudang, Microsoft Excel, Inventory, Supply Chain, WMS","Penyandang gangguan daksa pada tangan kiri akibat kecelakaan dan kini bekerja penuh menggunakan satu tangan dengan keyboard adaptif. Latar belakang S1 Akuntansi, ahli dalam Microsoft Excel dan Google Sheets untuk bidang entri data dan pengelolaan database. Tidak memerlukan asisten khusus, hanya butuh workstation ergonomis yang dapat disesuaikan."
K100,Gangguan Penglihatan (Tunanetra),"Firewall, VPN, Cisco, Server Management",Lulusan S1 Teknik Informatika yang bekerja sepenuhnya menggunakan screen reader NVDA dan JAWS untuk mengoperasikan komputer dalam pekerjaan jaringan komputer dan infrastruktur IT. Sangat terampil dalam Cisco dan MikroTik yang diakses melalui antarmuka berbasis keyboard dan teknologi bantu. Membutuhkan perangkat lunak aksesibilitas yang terpasang di workstation dan dokumentasi yang tersedia dalam format digital yang dapat dibaca screen reader.
K101,Gangguan Pendengaran / Tuli (Tunarungu),"Administrasi Perkantoran, Notulensi, Google Workspace","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan S1 Hubungan Internasional yang sangat terampil dalam sistem pengarsipan digital untuk pekerjaan administrasi perkantoran. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
K102,Gangguan Intelektual,"Motion Graphics, CorelDRAW, Desain Visual, Adobe Photoshop",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang desain grafis. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan Canva dan CorelDRAW untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K103,Acquired Brain Injury (ABI),"Google Sheets, Microsoft Excel, Accurate, Microsoft Word, Ketelitian Data, Pengetikan Cepat","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan S1 Ilmu Administrasi Negara, kompeten dalam Microsoft Excel dan Google Sheets untuk bidang entri data dan pengelolaan database dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K104,Gangguan Daksa Tangan,"Ketelitian Data, Accurate, Google Sheets","Penyandang gangguan daksa pada tangan kiri akibat kecelakaan dan kini bekerja penuh menggunakan satu tangan dengan keyboard adaptif. Latar belakang S1 Ilmu Administrasi Negara, ahli dalam software entri data perusahaan untuk bidang entri data dan pengelolaan database. Tidak memerlukan asisten khusus, hanya butuh workstation ergonomis yang dapat disesuaikan."
K105,Gangguan Daksa Kaki,"Java, Django, Python, FastAPI, Microservices, Docker","Penyandang tunadaksa kaki dengan kaki prostetik yang memungkinkan mobilitas mandiri. Latar belakang S1 Sistem Informasi, terampil dalam Tableau dan Power BI untuk bidang analisis data dan business intelligence. Membutuhkan akses parkir khusus disabilitas dan jalur yang rata atau berslope di gedung kantor."
K106,Gangguan Mental / Psikososial,"Firewall, MikroTik, VPN","Penyandang gangguan psikososial (depresi mayor yang terkontrol) yang kembali aktif bekerja di bidang jaringan komputer dan infrastruktur IT. Latar belakang S1 Sistem Informasi, menguasai CCNA dan VPN. Membutuhkan lingkungan kerja yang suportif dan non-stigmatisasi, dengan fleksibilitas jadwal bila diperlukan untuk keperluan medis."
K107,Gangguan Penglihatan (Tunanetra),"Ansible, Terraform, AWS, GCP, Linux, CI/CD",Mengalami gangguan penglihatan sejak usia muda dan kini bekerja mandiri di bidang jaringan komputer dan infrastruktur IT menggunakan screen reader dan perangkat braille. Latar belakang pendidikan S1 Matematika (konsentrasi komputasi) yang ditempuh secara inklusif. Sangat produktif dalam pekerjaan berbasis teks dan data menggunakan Cisco dan MikroTik.
K108,Gangguan Spektrum Autisme,"Terraform, Jenkins, Kubernetes, Ansible, Docker","Penyandang Gangguan Spektrum Autisme (GSA) fungsional tinggi dengan kemampuan hiperfokus dan perhatian terhadap detail yang luar biasa di bidang pengembangan backend dan arsitektur sistem. Lulusan S1 Teknik Informatika, sangat terampil dalam Spring Boot dan Java. Bekerja paling optimal di lingkungan yang tenang, minim gangguan sensorik, dan memiliki ekspektasi tugas yang jelas dan tidak ambigu."
K109,Gangguan Bicara (Tunawicara),"Jira, Testing Manual, Postman, Bug Tracking, Selenium, QA Documentation","Penyandang gangguan bicara yang sangat terampil dalam bidang quality assurance dan pengujian perangkat lunak. Lulusan D3 Teknik Informatika, menguasai Selenium dan Postman dan telah bekerja profesional di beberapa organisasi. Komunikasi kerja dilakukan sepenuhnya melalui tulisan dan media digital tanpa kendala produktivitas."
K110,Gangguan Daksa Tangan,"Zoom, Kurikulum, Moodle, E-Learning, Manajemen Kelas","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang S1 Desain Komunikasi Visual, kompeten dalam platform e-learning untuk bidang pendidikan dan pelatihan. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K111,Gangguan Intelektual,"SAP, MYOB, Laporan Keuangan, Jurnal Keuangan","Mengalami gangguan intelektual ringan dan bekerja paling efektif pada tugas-tugas yang terstruktur, berulang, dan memiliki instruksi yang jelas. Lulusan S1 Hubungan Internasional dengan dukungan program pendidikan inklusif. Terampil dalam SAP dan software akuntansi untuk bidang akuntansi dan keuangan dan sangat dapat diandalkan dalam menyelesaikan tugas rutin dengan supervisi minimal."
K112,Gangguan Bicara (Tunawicara),"Kriptografi, Metasploit, Firewall, Ethical Hacking, ISO 27001, SIEM","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan D3 Manajemen Informatika yang berpengalaman di bidang jaringan komputer dan infrastruktur IT menggunakan Linux dan Firewall tools. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K113,Gangguan Penglihatan (Tunanetra),"Digital Marketing, Analitik Media Sosial, Email Marketing, SEO, Copywriting",Mengalami gangguan penglihatan sejak usia muda dan kini bekerja mandiri di bidang pemasaran digital menggunakan screen reader dan perangkat braille. Latar belakang pendidikan S1 Ekonomi yang ditempuh secara inklusif. Sangat produktif dalam pekerjaan berbasis teks dan data menggunakan platform email marketing.
K114,Gangguan Bicara (Tunawicara),"Jetpack Compose, Android, React Native, SQLite, Dart, Firebase","Mengalami gangguan bicara berat namun sangat komunikatif melalui tulisan, pesan teks, dan email. Lulusan D3 Manajemen Informatika yang berpengalaman di bidang pengembangan aplikasi mobile menggunakan Flutter dan Dart. Pekerjaan berbasis teks sangat cocok; dapat berpartisipasi dalam rapat menggunakan fitur chat atau menggunakan aplikasi text-to-speech bila diperlukan."
K115,Gangguan Pendengaran / Tuli (Tunarungu),"Bahasa Mandarin, Lokalisasi, Proofreading, Bahasa Jepang, SDL Trados, Bahasa Inggris","Tunarungu total sejak lahir dan berkomunikasi menggunakan Bahasa Isyarat Indonesia (BISINDO) serta teks tertulis. Lulusan S1 Ilmu Administrasi Negara yang sangat terampil dalam SDL Trados dan CAT tools untuk pekerjaan penerjemahan dan lokalisasi. Pekerjaan berbasis teks, email, dan platform pesan sangat sesuai; membutuhkan interpreter BISINDO untuk rapat formal jika diperlukan."
K116,Gangguan Intelektual,"Microsoft Excel, Supply Chain, Manajemen Gudang, SAP WM","Mengalami gangguan intelektual ringan dan bekerja paling efektif pada tugas-tugas yang terstruktur, berulang, dan memiliki instruksi yang jelas. Lulusan D3 Akuntansi dengan dukungan program pendidikan inklusif. Terampil dalam Microsoft Excel dan Google Sheets untuk bidang entri data dan pengelolaan database dan sangat dapat diandalkan dalam menyelesaikan tugas rutin dengan supervisi minimal."
K117,Gangguan Daksa Kaki,"Notulensi, Surat Menyurat, Manajemen Jadwal, Microsoft Office","Menggunakan kursi roda untuk mobilitas sehari-hari namun bekerja penuh di bidang administrasi perkantoran tanpa hambatan fungsional. Lulusan S1 Ekonomi yang menguasai Microsoft Office dan Google Workspace. Membutuhkan akses ramp, lift, dan toilet ramah disabilitas di lingkungan kerja fisik; sangat cocok juga untuk kerja remote."
K118,Gangguan Spektrum Autisme,"Penulisan Konten, Copywriting, Instagram, Editing Video, CapCut","Penyandang Gangguan Spektrum Autisme (GSA) fungsional tinggi dengan kemampuan hiperfokus dan perhatian terhadap detail yang luar biasa di bidang pemasaran digital. Lulusan S1 Bahasa Inggris, sangat terampil dalam Google Ads dan Meta Ads. Bekerja paling optimal di lingkungan yang tenang, minim gangguan sensorik, dan memiliki ekspektasi tugas yang jelas dan tidak ambigu."
K119,Gangguan Mental / Psikososial,"Jenkins, Azure, AWS, Linux","Memiliki riwayat gangguan kecemasan (anxiety disorder) yang telah terkelola dengan baik melalui terapi dan pengobatan rutin. Lulusan S1 Ilmu Komputer yang berpengalaman di bidang jaringan komputer dan infrastruktur IT menggunakan Cisco dan MikroTik. Bekerja paling optimal dalam lingkungan yang memiliki ekspektasi kerja yang jelas, tidak terlalu banyak perubahan mendadak, dan mendukung keseimbangan kerja-hidup."
K120,Gangguan Spektrum Autisme,"SAP, Jurnal Keuangan, Akuntansi, Rekonsiliasi Bank","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan akuntansi dan keuangan. Latar belakang D3 Sekretaris, menguasai SAP dan software akuntansi secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K121,Gangguan Daksa Tangan,"Proofreading, Bahasa Jepang, SDL Trados, Bahasa Mandarin, Lokalisasi","Penyandang gangguan daksa pada tangan kiri akibat kecelakaan dan kini bekerja penuh menggunakan satu tangan dengan keyboard adaptif. Latar belakang S1 Desain Komunikasi Visual, ahli dalam SDL Trados dan CAT tools untuk bidang penerjemahan dan lokalisasi. Tidak memerlukan asisten khusus, hanya butuh workstation ergonomis yang dapat disesuaikan."
K122,Gangguan Bicara (Tunawicara),"Microsoft Office, Notulensi, Pengarsipan, Manajemen Jadwal, Google Workspace, Surat Menyurat","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang administrasi perkantoran. Lulusan S1 Akuntansi yang terampil dalam Microsoft Office dan Google Workspace. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K123,Gangguan Spektrum Autisme,"Pengetikan Cepat, Spreadsheet, Accurate","Gangguan Spektrum Autisme dengan kecenderungan hiperfokus pada bidang teknologi dan entri data dan pengelolaan database. Lulusan S1 Manajemen, sangat terampil dalam Microsoft Excel dan Google Sheets dan terus mengembangkan keahlian secara mandiri. Membutuhkan ruang kerja yang tenang dan komunikasi yang eksplisit tanpa ambiguitas."
K124,Gangguan Spektrum Autisme,"SQLite, Flutter, Dart, Firebase, Jetpack Compose, Swift","Gangguan Spektrum Autisme dengan kecenderungan hiperfokus pada bidang teknologi dan pengembangan aplikasi mobile. Lulusan S2 Ilmu Komputer, sangat terampil dalam Android dan Kotlin dan terus mengembangkan keahlian secara mandiri. Membutuhkan ruang kerja yang tenang dan komunikasi yang eksplisit tanpa ambiguitas."
K125,Gangguan Daksa Tangan,"Canva, Wireframing, InVision, Figma, User Research","Penyandang gangguan daksa tangan kanan yang telah mengembangkan adaptasi bekerja menggunakan tangan kiri yang dominan dan perangkat bantu ergonomis. Latar belakang S1 Matematika (konsentrasi komputasi), kompeten dalam Figma dan Adobe XD untuk bidang desain antarmuka pengguna. Membutuhkan setup meja kerja yang fleksibel dan mouse yang dapat disesuaikan."
K126,Gangguan Mental / Psikososial,"Accurate, Spreadsheet, Microsoft Word, Microsoft Excel, Ketelitian Data, Google Sheets","Penyandang gangguan psikososial (depresi mayor yang terkontrol) yang kembali aktif bekerja di bidang entri data dan pengelolaan database. Latar belakang S1 Ekonomi, menguasai software entri data perusahaan. Membutuhkan lingkungan kerja yang suportif dan non-stigmatisasi, dengan fleksibilitas jadwal bila diperlukan untuk keperluan medis."
K127,Gangguan Daksa Tangan,"Spring Boot, Redis, Go, PostgreSQL, Kubernetes, Docker","Penyandang gangguan daksa pada tangan kiri akibat kecelakaan dan kini bekerja penuh menggunakan satu tangan dengan keyboard adaptif. Latar belakang D3 Teknik Informatika, ahli dalam Django dan PostgreSQL untuk bidang pengembangan backend dan arsitektur sistem. Tidak memerlukan asisten khusus, hanya butuh workstation ergonomis yang dapat disesuaikan."
K128,Acquired Brain Injury (ABI),"Metasploit, ISO 27001, Kriptografi","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan S1 Matematika (konsentrasi komputasi), kompeten dalam tools penetration testing dan SIEM untuk bidang keamanan siber dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K129,Gangguan Spektrum Autisme,"JavaScript, Vue.js, REST API, PHP","Autisme spektrum level 1 dengan keunggulan dalam pemikiran sistematis dan konsistensi kerja di bidang pengembangan web. Lulusan D3 Teknik Informatika, sangat produktif menggunakan HTML/CSS dan JavaScript dalam tugas-tugas yang membutuhkan presisi tinggi. Membutuhkan lingkungan kerja yang tidak terlalu padat secara sosial dan memiliki struktur yang jelas."
K130,Gangguan Spektrum Autisme,"Digital Marketing, Facebook Ads, Copywriting, TikTok Ads, Email Marketing, SEO","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan pemasaran digital. Latar belakang S1 Komunikasi, menguasai platform email marketing secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K131,Gangguan Intelektual,"Bahasa Jepang, Proofreading, Penerjemahan",Individu dengan gangguan intelektual ringan yang telah berhasil bekerja di beberapa posisi entry-level di bidang penerjemahan dan lokalisasi. Memiliki ketelitian tinggi pada tugas rutin dan terampil menggunakan SDL Trados dan CAT tools untuk pekerjaan dasar. Membutuhkan supervisi berkala dan instruksi bertahap yang mudah dipahami.
K132,Acquired Brain Injury (ABI),"PHP, React, TypeScript, Vue.js","Acquired Brain Injury akibat stroke yang telah menjalani rehabilitasi intensif selama 18 bulan. Latar belakang S1 Teknik Informatika, kini mampu kembali bekerja di bidang pengembangan web menggunakan React dan Node.js. Membutuhkan lingkungan kerja dengan tempo yang fleksibel, tugas yang dipecah menjadi langkah-langkah kecil, dan tidak ada tekanan multitasking berlebihan."
