Jenis Disabilitas,Kebutuhan Aksesibilitas,No Job Title,Job Title,No Kualifikasi,Level,Deskripsi Kualifikasi
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,5,Mid level,"Pengalaman 2+ tahun, kemampuan multi-entity bookkeeping, familiar cloud accounting, terbiasa kerja remote."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,6,Senior level,"3+ tahun, pengalaman laporan konsolidasi, kemampuan review buku junior, koordinasi auditor via dokumen."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,7,Senior level,"S1 Akuntansi + sertifikasi (BKP/Brevet A/B), 4+ tahun, pengalaman laporan keuangan standar PSAK, manajemen tim."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,8,Lead / Manajerial,"5+ tahun, pengalaman finance controller, mampu menyusun SOP pembukuan, implementasi sistem akuntansi baru."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,9,Lead / Manajerial,"S2 Akuntansi/MBA, 6+ tahun, rekam jejak audit bersih berulang, pengalaman CFO startup atau UMKM menengah."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,13,Bookkeeper,10,Lead / Manajerial,"8+ tahun, pengalaman Director of Finance, strategi keuangan jangka panjang, familiar dengan IFRS dan PSAK."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,1,Entry level,"Lulusan SMA/D3, aktif di media sosial, kemampuan membuat konten teks & visual dasar, familiar dengan Meta Business Suite."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,2,Entry level,"Lulusan S1 Komunikasi, 3+ bulan magang social media, kemampuan copywriting singkat, terbiasa komunikasi via DM & komentar."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,3,Mid level,"S1 Komunikasi/Marketing, 1-2 tahun pengalaman, mampu menyusun content calendar, familiar dengan analytics tools sosmed."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,4,Mid level,"2 tahun pengalaman, rekam jejak pertumbuhan follower organik, kemampuan community management via teks, familiar paid ads."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,5,Mid level,"Pengalaman 2+ tahun, mampu mengelola multi-platform, kemampuan social listening, komunikasi brand via konten teks kuat."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,6,Senior level,"3+ tahun, pengalaman brand voice development, kemampuan crisis management via teks, koordinasi konten creator."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,7,Senior level,"S1/S2 Marketing, 4+ tahun, pengalaman influencer campaign, kemampuan laporan ROI sosmed, supervisi tim konten."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,8,Lead / Manajerial,"5+ tahun, pengalaman head of social media, mampu menyusun strategi sosmed tahunan, budgeting kampanye digital."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,9,Lead / Manajerial,"S2 Marketing/Komunikasi, 6+ tahun, rekam jejak viral campaign, pengalaman kolaborasi lintas departemen via chat tools."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,14,Social Media Manager,10,Lead / Manajerial,"8+ tahun, pengalaman Chief Marketing Officer (digital), strategi omnichannel, membangun tim pemasaran digital dari nol."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,1,Entry level,"Lulusan S1 semua jurusan, kemampuan riset literatur, familiar dengan Google Scholar, kemampuan menulis laporan tertulis rapi."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,2,Entry level,"Lulusan S1, pengalaman riset tugas akhir/skripsi, kemampuan analisis kualitatif sederhana, terbiasa komunikasi via email."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,3,Mid level,"S1/S2 semua jurusan, 1-2 tahun pengalaman riset, kemampuan metodologi kuantitatif & kualitatif, familiar SPSS/NVivo."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,4,Mid level,"2 tahun pengalaman, pernah mempublikasikan paper atau laporan riset, kemampuan data collection remote via survei digital."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,5,Mid level,"Pengalaman 2+ tahun, kemampuan systematic review, familiar dengan referensi manager (Mendeley/Zotero), analisis mendalam."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,6,Senior level,"3+ tahun, pengalaman lead researcher, kemampuan menyusun proposal riset, koordinasi tim via dokumen dan email."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,7,Senior level,"S2/S3 semua bidang, 4+ tahun, publikasi di jurnal terindeks, kemampuan mentoring tim riset junior."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,8,Lead / Manajerial,"5+ tahun, pengalaman research manager, mampu menyusun agenda riset organisasi, kolaborasi lintas lembaga via teks."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,9,Lead / Manajerial,"S3 + postdoc, 6+ tahun, rekam jejak grant acquisition, pengalaman kepala laboratorium riset atau pusat studi."
Tunawicara,Chat/text input / Tombol komunikasi cepat / Speech-to-text / Text-to-speech,15,Researcher,10,Lead / Manajerial,"8+ tahun, pengalaman direktur riset, kemampuan menyusun kebijakan berbasis bukti, komunikasi publik via laporan tertulis."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,1,Entry level,"Lulusan SMA/SMK, suara bersih dan komunikatif, kemampuan merekam audio dengan mikrofon dasar dan voice control."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,2,Entry level,"Lulusan D3 Broadcasting, pengalaman dubbing informal, kemampuan modulasi suara, familiar software rekam berbasis voice."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,3,Mid level,"S1 Broadcasting/Seni Peran, 1-2 tahun pengalaman VO profesional, portofolio beragam, kemampuan emote via suara."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,4,Mid level,"2 tahun pengalaman, rekam jejak iklan radio/podcast, kemampuan cold read, studio home setup minimal hand-use."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,5,Mid level,"Pengalaman 2+ tahun, kemampuan berbagai karakter suara, familiar teknik mic dan akustik ruangan, pengiriman file via voice tools."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,6,Senior level,"3+ tahun VO profesional, rekam jejak brand besar, kemampuan self-directing, manajemen proyek via voice command."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,7,Senior level,"S1/S2 Seni Peran, 4+ tahun, kemampuan bilingual VO (Indonesia-Inggris), pengalaman VO animasi/game."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,8,Lead / Manajerial,"5+ tahun, pengalaman voice director, kemampuan casting talent VO, koordinasi produksi via voice/audio tools."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,9,Lead / Manajerial,"S2 Seni, 6+ tahun, rekam jejak waralaba media terkenal, kemampuan menyusun standar kualitas VO perusahaan."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,16,Voice-over Artist,10,Lead / Manajerial,"8+ tahun, pengalaman kepala studio VO, kemampuan pengembangan bisnis, rekam jejak proyek internasional."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,1,Entry level,"Lulusan S1 semua jurusan (sesuai mata pelajaran), kemampuan mengajar via video call, familiar platform LMS berbasis voice."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,2,Entry level,"Mahasiswa/fresh graduate, pengalaman mengajar informal, kemampuan komunikasi verbal jelas, familiar Zoom/Google Meet."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,3,Mid level,"S1 Pendidikan atau bidang keahlian, 1-2 tahun pengalaman tutoring, kemampuan membuat modul ajar tertulis sederhana."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,4,Mid level,"2 tahun pengalaman tutor online, rekam jejak peningkatan nilai siswa, kemampuan diferensiasi pembelajaran."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,5,Mid level,"Pengalaman 2+ tahun, kemampuan mengajar kelompok kecil online, familiar dengan tools interaktif berbasis voice."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,6,Senior level,"3+ tahun, pengalaman kurikulum development, kemampuan coaching dan mentoring, komunikasi orang tua via verbal."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,7,Senior level,"S1/S2 Pendidikan, 4+ tahun, pernah melatih tutor junior, kemampuan assessmen pembelajaran berbasis voice response."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,8,Lead / Manajerial,"5+ tahun, pengalaman head tutor, mampu menyusun program tutoring, rekrutmen dan QC tutor via wawancara."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,9,Lead / Manajerial,"S2 Pendidikan, 6+ tahun, pengalaman merancang kurikulum digital inklusif, kolaborasi dengan lembaga pendidikan."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,17,Online Tutor,10,Lead / Manajerial,"8+ tahun, pengalaman direktur akademik online, kemampuan skalabilitas program tutoring, pengembangan edtech inklusif."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,1,Entry level,"Lulusan SMA/SMK, kemampuan komunikasi verbal sangat baik, terbiasa menggunakan headset dan voice-based ticketing."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,2,Entry level,"Lulusan D3, pengalaman magang support, kemampuan mengelola keluhan via telepon dan chat suara, ramah dan sabar."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,3,Mid level,"S1 semua jurusan, 1-2 tahun pengalaman, mahir menangani escalation verbal, familiar CRM berbasis voice command."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,4,Mid level,"2 tahun pengalaman, kemampuan de-eskalasi konflik verbal, rekam jejak NPS tinggi, terbiasa dokumentasi via dictation."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,5,Mid level,"Pengalaman 2+ tahun, kemampuan teknis produk untuk troubleshooting verbal, familiar dengan SLA management."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,6,Senior level,"3+ tahun, pengalaman senior support, kemampuan coaching tim via verbal, menyusun FAQ via dictation tools."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,7,Senior level,"S1 Komunikasi/Psikologi, 4+ tahun, pengalaman omnichannel support (telepon, chat suara), kemampuan analisis kepuasan."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,8,Lead / Manajerial,"5+ tahun, pengalaman team lead support, KPI management, rekrutmen via wawancara, pelatihan onboarding verbal."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,9,Lead / Manajerial,"S2 Manajemen, 6+ tahun, pengalaman direktur customer experience, strategi layanan berbasis voice analytics."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,18,Customer Support Specialist,10,Lead / Manajerial,"8+ tahun, pengalaman VP Customer Success, kemampuan membangun pusat layanan inklusif, rekam jejak churn reduction."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,1,Entry level,"Lulusan S1 Bahasa/Sastra, kemampuan terjemahan Indonesia-Inggris atau bahasa lain, pengetikan via voice-to-text."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,2,Entry level,"Lulusan D3/S1, penguasaan 2+ bahasa pasif & aktif, familiar dengan CAT tools yang mendukung voice command."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,3,Mid level,"S1 Bahasa, 1-2 tahun pengalaman terjemahan profesional, kemampuan domain spesifik (hukum/medis), dictation lancar."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,4,Mid level,"2 tahun pengalaman, rekam jejak proyek terjemahan volume besar, kemampuan post-editing mesin terjemahan."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,5,Mid level,"Pengalaman 2+ tahun, kemampuan localization konten digital, familiar dengan TM (Translation Memory) yang aksesibel."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,6,Senior level,"3+ tahun, pengalaman terjemahan tersumpah atau tersertifikasi, kemampuan review terjemahan tim, komunikasi klien verbal."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,7,Senior level,"S1/S2 Bahasa, 4+ tahun, rekam jejak proyek internasional, kemampuan menjaga konsistensi terminologi via voice notes."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,8,Lead / Manajerial,"5+ tahun, pengalaman lead translator, mampu menyusun glossary via dictation, manajemen tim penerjemah."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,9,Lead / Manajerial,"S2 Linguistik/Terjemahan, 6+ tahun, pengalaman direktur layanan bahasa, pengembangan standar kualitas terjemahan."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,19,Translator,10,Lead / Manajerial,"8+ tahun, pengalaman kepala biro penerjemah, kemampuan negosiasi kontrak klien, strategi pengembangan layanan bahasa."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,1,Entry level,"Lulusan SMA/SMK, kemampuan komunikasi verbal persuasif, terbiasa dengan auto-dialer voice-controlled, motivasi tinggi."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,2,Entry level,"Lulusan D3, pengalaman penjualan informal via telepon, kemampuan pitching produk verbal, terbiasa target harian."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,3,Mid level,"S1 semua jurusan, 1-2 tahun telesales, kemampuan negosiasi verbal, familiar CRM berbasis voice command."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,4,Mid level,"2 tahun pengalaman, rekam jejak konversi tinggi, kemampuan objection handling verbal, mahir upselling & cross-selling."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,5,Mid level,"Pengalaman 2+ tahun, kemampuan consultative selling via telepon, familiar dengan produk finansial/asuransi/SaaS."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,6,Senior level,"3+ tahun, pengalaman senior sales, kemampuan coaching tim via verbal roleplay, analisis pipeline via voice dashboard."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,7,Senior level,"S1 Marketing, 4+ tahun, rekam jejak revenue generation signifikan, kemampuan key account management via telepon."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,8,Lead / Manajerial,"5+ tahun, pengalaman sales team leader, KPI management, pelatihan pitch via simulasi verbal, forecasting penjualan."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,9,Lead / Manajerial,"S2 Manajemen/Marketing, 6+ tahun, pengalaman direktur penjualan, strategi go-to-market via remote channel."
Daksa Tangan,Voice command / Tombol besar / Shortcut keyboard / Minimal drag-and-drop,20,Telesales Agent,10,Lead / Manajerial,"8+ tahun, pengalaman VP Sales, kemampuan membangun organisasi penjualan inklusif, rekam jejak revenue multi-miliar."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,1,Entry level,"Lulusan S1 semua jurusan, familiar Trello/Asana, kemampuan koordinasi tim via digital tools, terorganisir."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,2,Entry level,"Lulusan D3/S1, pengalaman magang koordinasi proyek, kemampuan membuat timeline digital, komunikasi via chat/email."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,3,Mid level,"S1 Manajemen/Teknik, 1-2 tahun pengalaman PM, familiar Agile/Scrum, kemampuan risk management sederhana."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,4,Mid level,"2 tahun pengalaman, pernah mengelola proyek 3+ bulan, kemampuan vendor management via digital, familiar Jira."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,5,Mid level,"Pengalaman 2+ tahun, kemampuan budget tracking, familiar MS Project atau Notion, koordinasi remote team efektif."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,6,Senior level,"3+ tahun, pengalaman proyek lintas fungsi, PMP atau PRINCE2 nilai plus, kemampuan stakeholder management digital."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,7,Senior level,"S1/S2 Manajemen, 4+ tahun, rekam jejak proyek on-time on-budget, kemampuan resource planning via tools."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,8,Lead / Manajerial,"5+ tahun, pengalaman head of PMO, kemampuan menyusun metodologi PM perusahaan, manajemen portfolio proyek."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,9,Lead / Manajerial,"S2 Manajemen/MBA, 6+ tahun, rekam jejak digital transformation project, kemampuan melatih PM junior via remote."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,21,Remote Project Manager,10,Lead / Manajerial,"8+ tahun, pengalaman direktur operasi remote, strategi portofolio proyek perusahaan, kemampuan C-suite reporting."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,1,Entry level,"Lulusan S1 Marketing/Manajemen, familiar platform Tokopedia/Shopee/Shopify, kemampuan upload produk dan manajemen toko."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,2,Entry level,"Lulusan D3/S1, pengalaman jualan online personal, kemampuan optimasi listing produk, familiar dengan proses fulfillment."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,3,Mid level,"S1 Marketing, 1-2 tahun pengalaman, kemampuan paid ads marketplace, analisis performa toko via dashboard."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,4,Mid level,"2 tahun pengalaman, rekam jejak pertumbuhan GMV, kemampuan manajemen flash sale, familiar dengan analytics marketplace."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,5,Mid level,"Pengalaman 2+ tahun, kemampuan multi-platform management, familiar dengan catalog management dan inventory digital."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,6,Senior level,"3+ tahun, pengalaman lead e-commerce, kemampuan menyusun kalender promo, koordinasi marketing & logistik remote."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,7,Senior level,"S1/S2 Marketing, 4+ tahun, rekam jejak revenue signifikan, kemampuan A/B testing produk halaman, manajemen tim."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,8,Lead / Manajerial,"5+ tahun, pengalaman head of e-commerce, strategi ekspansi marketplace, negosiasi vendor via digital."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,9,Lead / Manajerial,"S2 Marketing/MBA, 6+ tahun, rekam jejak skalabilitas bisnis e-commerce, kemampuan internasionalisasi toko online."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,22,E-commerce Manager,10,Lead / Manajerial,"8+ tahun, pengalaman direktur e-commerce, strategi omnichannel digital, kemampuan menyusun P&L e-commerce."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),1,Entry level,"Lulusan S1 Psikologi/Manajemen SDM, familiar HRIS digital, kemampuan administrasi HR via tools online."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),2,Entry level,"Lulusan D3/S1, pengalaman magang HR, kemampuan rekrutmen via job portal, komunikasi kandidat via email/chat."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),3,Mid level,"S1 Psikologi/Hukum, 1-2 tahun pengalaman HR, kemampuan onboarding remote, familiar kontrak kerja digital."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),4,Mid level,"2 tahun pengalaman, kemampuan performance appraisal digital, familiar dengan survei engagement online, koordinasi via Zoom."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),5,Mid level,"Pengalaman 2+ tahun, kemampuan payroll digital, familiar dengan peraturan ketenagakerjaan, pelatihan via LMS."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),6,Senior level,"3+ tahun, pengalaman generalist HR, kemampuan menyusun kebijakan HR digital, manajemen kasus ketenagakerjaan."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),7,Senior level,"S1/S2 Psikologi/MSDM, 4+ tahun, pengalaman HR Business Partner, kemampuan analisis data SDM via dashboard."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),8,Lead / Manajerial,"5+ tahun, pengalaman HR Manager, kemampuan menyusun strategi talent acquisition digital, kultur inklusif."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),9,Lead / Manajerial,"S2 MSDM/MBA, 6+ tahun, rekam jejak transformasi HR digital, kemampuan memimpin tim HR tersebar secara remote."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,23,HR Specialist (Remote),10,Lead / Manajerial,"8+ tahun, pengalaman CHRO, strategi workforce planning, employer branding digital, kemampuan board-level reporting."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,1,Entry level,"Lulusan S1 Akuntansi/Keuangan, kemampuan Excel tingkat lanjut, analisis laporan keuangan dasar, kerja remote."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,2,Entry level,"Lulusan D3/S1, familiar Bloomberg atau Yahoo Finance, kemampuan riset investasi dasar, komunikasi via laporan."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,3,Mid level,"S1 Keuangan/Ekonomi, 1-2 tahun pengalaman, kemampuan financial modeling, familiar Power BI untuk dashboard keuangan."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,4,Mid level,"2 tahun pengalaman, kemampuan analisis rasio keuangan, pernah menyusun laporan untuk manajemen, familiar DCF model."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,5,Mid level,"Pengalaman 2+ tahun, kemampuan equity research atau credit analysis, komunikasi hasil analisis via presentasi digital."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,6,Senior level,"3+ tahun, pengalaman senior analyst, kemampuan valuasi perusahaan, koordinasi dengan tim keuangan via digital tools."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,7,Senior level,"S1/S2 Keuangan + CFA L1 atau setara, 4+ tahun, kemampuan portfolio management, rekam jejak analisis akurat."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,8,Lead / Manajerial,"5+ tahun, pengalaman finance manager, kemampuan menyusun anggaran perusahaan, reporting ke direksi via digital."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,9,Lead / Manajerial,"S2 Keuangan/MBA + CFA, 6+ tahun, pengalaman kepala keuangan, strategi investasi dan manajemen risiko korporat."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,24,Financial Analyst,10,Lead / Manajerial,"8+ tahun, pengalaman CFO, strategi keuangan jangka panjang, IPO atau M&A experience, remote C-suite collaboration."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,25,Digital Marketing Specialist,1,Entry level,"Lulusan S1 Marketing/Komunikasi, familiar Google Ads & Meta Ads dasar, kemampuan analisis data digital sederhana."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,25,Digital Marketing Specialist,2,Entry level,"Lulusan D3/S1, pernah mengelola kampanye sosmed kecil, kemampuan copywriting iklan singkat, familiar Google Analytics."
Daksa Kaki,Navigasi sederhana / Layanan jarak jauh / Integrasi lokasi aksesibel,25,Digital Marketing Specialist,3,Mid level,"S1 Marketing, 1-2 tahun pengalaman, kemampuan SEO/SEM, familiar dashboard iklan, optimasi berbasis data."
